variable,rol,entra_como_predictor
anon_id,identificador,0
pat_enc_csn_id_coded,identificador,0
order_proc_id_coded,identificador,0
order_time_jittered_utc,temporal_para_split,0
antibiotic,predictor_base,1
culture_description,predictor_base,1
age,predictor_base,1
gender,predictor_base,1
hosp_ward_ICU,predictor_base,1
hosp_ward_ER,predictor_base,1
hosp_ward_IP,predictor_base,1
hosp_ward_OP,predictor_base,1
ordering_mode,predictor_ampliado,1
procedure_name,predictor_ampliado,1
median_wbc,predictor_ampliado,1
median_cr,predictor_ampliado,1
comorb_congestive_heart_failure,predictor_multihot_comorbilidad,1
comorb_organ_transplant_status,predictor_multihot_comorbilidad,1
comorb_diabetes_any,predictor_multihot_comorbilidad,1
comorb_solid_tumor_non_metastatic,predictor_multihot_comorbilidad,1
comorb_chronic_pulmonary_any,predictor_multihot_comorbilidad,1
comorb_renal_failure,predictor_multihot_comorbilidad,1
comorb_pancreatic_disorder,predictor_multihot_comorbilidad,1
comorb_sinusitis,predictor_multihot_comorbilidad,1
susceptibility,objetivo,0
